subset,mb,status,hits
australian_electricity_demand,4.6,clean,[]
elecdemand,0.1,clean,[]
elf,0.1,clean,[]
spain,0.3,clean,[]
gfc12_load,6.3,clean,[]
gfc14_load,0.1,clean,[]
gfc17_load,1.1,clean,[]
covid19_energy,0.9,clean,[]
residential_load_power,1752.0,skipped_size,
residential_pv_power,1504.1,skipped_size,
lcl,38.2,clean,[]
london_smart_meters_with_missing,665.1,skipped_size,
bdg-2_bear,5.9,clean,[]
bdg-2_fox,9.3,clean,[]
bdg-2_panther,3.7,clean,[]
bdg-2_rat,18.9,clean,[]
smart,0.4,clean,[]
ideal,5.0,clean,[]
sceaux,0.1,clean,[]
borealis,0.3,clean,[]
bull,11.5,clean,[]
hog,10.1,clean,[]
cockatoo,0.4,clean,[]
pdb,0.1,clean,[]
solar_power,29.6,clean,[]
wind_power,29.6,clean,[]
