benchmark,lotsa,n_corpus_series,queried,matched,near,none
monash_m1_monthly,m1_monthly,617,15,0,3,12
monash_m1_yearly,m1_yearly,106,15,12,2,1
m4_quarterly,m4_quarterly,23998,15,2,8,5
m4_yearly,m4_yearly,22739,15,15,0,0
monash_m3_monthly,monash_m3_monthly,1428,15,0,1,14
monash_m3_quarterly,monash_m3_quarterly,756,15,15,0,0
monash_m3_yearly,monash_m3_yearly,645,15,15,0,0
monash_covid_deaths,covid_deaths,266,15,0,0,15
monash_fred_md,fred_md,107,15,15,0,0
monash_hospital,hospital,767,15,0,0,15
monash_cif_2016,cif_2016_12,57,15,0,1,14
nn5,nn5_daily_with_missing,111,15,0,0,15
monash_nn5_weekly,nn5_weekly,111,15,0,0,15
monash_tourism_monthly,tourism_monthly,366,15,11,0,4
monash_tourism_quarterly,tourism_quarterly,427,15,0,0,15
monash_tourism_yearly,tourism_yearly,419,15,11,0,4
monash_car_parts,car_parts_with_missing,2674,15,0,0,15
monash_australian_electricity,australian_electricity_demand,5,5,5,0,0
monash_traffic,traffic_hourly,862,15,15,0,0
monash_weather,weather,3010,15,11,0,4
