context,series_id,MASE,secs
16,entsoe:load:DE_LU#s1,4.715446925615653,0.4
16,entsoe:load:ES#s1,3.023244182619327,0.1
16,entsoe:load:ES#s2,5.227509191596046,0.0
16,entsoe:load:PL#s1,4.540623294816699,0.1
32,entsoe:load:DE_LU#s1,3.7523484390818957,0.1
32,entsoe:load:ES#s1,2.7767192456448786,0.1
32,entsoe:load:ES#s2,4.112368133946507,0.1
32,entsoe:load:PL#s1,9.588861193716074,0.1
64,entsoe:load:DE_LU#s1,1.8140453305942459,0.1
64,entsoe:load:ES#s1,1.2599536627166081,0.1
64,entsoe:load:ES#s2,1.3143365123617223,0.1
64,entsoe:load:PL#s1,2.089923648386602,0.0
128,entsoe:load:DE_LU#s1,1.139088948917851,0.1
128,entsoe:load:ES#s1,0.8516124356976885,0.1
128,entsoe:load:ES#s2,1.2429238776008418,0.1
128,entsoe:load:PL#s1,1.227709908886878,0.1
512,entsoe:load:DE_LU#s1,0.34051511239926113,0.1
512,entsoe:load:ES#s1,0.5477661951535645,0.1
512,entsoe:load:ES#s2,0.6524288626310997,0.1
512,entsoe:load:PL#s1,0.4079882351576251,0.1
