dataset,freq,season,n_series,MASE,WQL,ref_MASE,ref_WQL,d_MASE_%,d_WQL_%,secs
monash_traffic,h,24,862,1.0767397175639295,0.36185321938379456,1.0767397173107436,0.3618532196990004,2.351412440779209e-08,-8.710876240763572e-08,3.3
monash_australian_electricity,30min,48,5,1.2533189617782223,0.08369513328462722,1.2533189641227642,0.0836951323308387,-1.8706665749708977e-07,1.13959855707692e-06,1.2
ercot,h,24,8,0.7611990227024257,0.03660364511622691,0.7613354813741452,0.0366036447606282,-0.017923592825757065,9.714844314696712e-07,1.2
ETTm,15min,96,14,1.169305385227058,0.1413480385734046,1.1693053852270578,0.1413480385734046,1.8989445163798187e-14,0.0,0.6
ETTh,h,24,14,0.9316203114697057,0.12208965852058867,0.9316203114697056,0.1220896585205886,1.1917119141312956e-14,5.683441159545128e-14,0.3
exchange_rate,B,5,8,1.7401815847765527,0.012984136396417024,1.7401824286954128,0.0129841406759913,-4.849599939702407e-05,-3.296001161425597e-05,1.0
nn5,D,1,111,1.2920369178754039,0.4246208074870632,1.2917285866431214,0.4246208074843067,0.023869660815027838,6.491714932722524e-10,1.1
monash_nn5_weekly,W-SUN,1,111,1.06284825481982,0.12269089536569082,1.0628482559107015,0.1226908962169196,-1.0263756855242096e-07,-6.937994652849031e-07,1.1
monash_weather,D,1,3010,1.0038475640561748,0.2165947342626467,1.0038475713182748,0.2165947349654047,-7.234265679298212e-07,-3.24457572136797e-07,2.9
monash_covid_deaths,D,1,266,46.91239825526407,0.13308487625718277,46.91239825526407,0.1330848762571827,0.0,4.1711089037633486e-14,1.2
monash_fred_md,M,12,107,1.1008000783116654,0.12222377029867,1.1008000463101226,0.1222237702571737,2.9071167698748447e-06,3.395109339512283e-08,1.1
m4_quarterly,Q-DEC,4,24000,1.6022471748868623,0.11864846610312996,1.6022471766126911,0.1186484661559648,-1.0771301946315755e-07,-4.453057786574703e-08,10.8
m4_yearly,Y-DEC,1,23000,3.9743602588610982,0.16143896634272104,3.974360261259571,0.1614389663357925,-6.0348655333628e-08,4.2917402356202265e-09,10.8
dominick,W-THU,1,100014,0.8706149874056475,0.452916402569883,0.8706150115348875,0.4529164093744346,-2.771516655556362e-06,-1.502385748896904e-06,41.0
m5,D,1,30490,1.3992062130767295,1.024088347806841,1.399206213076729,1.0240883478068443,3.173865336643626e-14,-3.2523259160289505e-13,19.7
monash_tourism_monthly,M,12,366,1.6309399942235137,0.1041824321285489,1.630939994944413,0.1041824322151567,-4.420146311070039e-08,-8.31309102889404e-08,1.7
monash_tourism_quarterly,Q-DEC,4,427,1.698989264146954,0.11937501698158354,1.6989892627474672,0.1193750169177449,8.237172414184634e-08,5.347738945194458e-08,1.2
monash_tourism_yearly,Y-DEC,1,518,3.5520097256758514,0.20918266273753397,3.5520097206480883,0.2091826587673241,1.4154699705685185e-07,1.897963199469261e-06,1.2
monash_car_parts,M,12,2674,1.2014638390969914,1.5999522140809175,1.2014638390969912,1.5999522140809177,1.84811725246694e-14,-1.3878202296971939e-14,1.9
monash_hospital,M,12,767,0.9205278266364826,0.07262633732682541,0.9205278266364826,0.0726263373268254,0.0,1.9108478161803888e-14,1.4
monash_cif_2016,M,12,72,1.2892906257994605,0.01508304520305015,1.289290577415544,0.0150830409089921,3.7527549860719706e-06,2.8469445094114246e-05,1.1
monash_m1_yearly,Y-DEC,1,181,4.8943222036309155,0.20929559305397985,4.894322225232431,0.2092955931101782,-4.413586651866455e-07,-2.6851187209823872e-08,1.1
monash_m1_quarterly,Q-OCT,4,203,2.0775365220872635,0.14950220626062016,2.077536550805995,0.1495022062865622,-1.3823454216409926e-06,-1.7352269875655665e-08,1.1
monash_m1_monthly,M,12,617,1.3144614960596306,0.1914632596106866,1.3144614957646543,0.1914632595030148,2.2440844907677388e-08,5.623628062487635e-08,1.2
monash_m3_monthly,M,12,1428,1.1462045768013491,0.1485446007142845,1.1462045758327934,0.1485446007554992,8.450111790902621e-08,-2.7745672418410963e-08,1.5
monash_m3_yearly,Y-DEC,1,645,3.1717102327872015,0.16653296486188554,3.171710236440952,0.1665329650420048,-1.1519812224333249e-07,-1.0815831736418063e-07,1.2
monash_m3_quarterly,Q-OCT,4,756,1.4253437925281705,0.10125205287394176,1.425343793700714,0.1012520529806161,-8.22639157610739e-08,-1.0535523269992176e-07,1.3
